User_ID,Product_ID,Product_Category_1,Purchase
1000001,P00069042,3,8370
1000001,P00248942,1,15200
1000001,P00087842,12,1422
1000001,P00085442,12,1057
1000002,P00285442,8,7969
1000003,P00193542,1,15227
1000004,P00184942,1,19215
1000004,P00346142,1,15854
1000004,P0097242,1,15686
1000005,P00274942,8,7871
1000005,P00251242,5,5254
1000005,P00014542,8,3957
1000005,P00031342,8,6073
1000005,P00145042,1,15665
1000006,P00231342,5,5378
1000006,P00190242,4,2079
1000006,P0096642,2,13055
1000006,P00058442,5,8851
1000007,P00036842,1,11788
1000008,P00249542,1,19614
1000008,P00220442,5,8584
1000008,P00156442,8,9872
1000008,P00213742,8,9743
1000008,P00214442,8,5982
1000008,P00303442,1,11927
1000009,P00135742,6,16662
1000009,P00039942,8,5887
1000009,P00161442,5,6973
1000009,P00078742,5,5391
1000010,P00085942,2,16352
1000010,P00118742,5,8886
1000010,P00297942,8,5875
1000010,P00266842,5,8854
1000010,P00058342,3,10946
1000010,P00032442,5,5152
1000010,P00105942,5,7089
1000010,P00182642,2,12909
1000010,P00186942,5,8770
1000010,P00155442,1,15212
1000010,P00221342,1,15705
1000010,P00087242,14,7947
1000010,P00111142,1,18963
1000010,P00259342,5,8718
1000010,P0094542,2,16406
1000010,P00148642,6,12642
1000010,P00312142,8,10007
1000010,P00113242,1,11562
1000011,P00192642,8,6171
1000011,P00110842,1,19327
1000011,P00189642,8,8027
1000012,P00304242,1,15246
1000012,P00365242,5,6865
1000013,P00129542,8,5839
1000013,P00140742,1,15912
1000013,P00182342,1,12107
1000014,P00276642,8,5848
1000015,P00334242,1,19653
1000015,P00247542,8,5958
1000015,P00338442,1,11415
1000015,P00275142,5,5380
1000015,P00333042,5,3594
1000015,P00166242,8,4209
1000015,P00161942,5,5407
1000015,P00348242,8,7803
1000015,P00042142,1,11458
1000016,P00244242,1,11755
1000016,P00217742,5,8702
1000017,P00019342,1,15872
1000017,P00100642,5,8609
1000017,P00073842,1,15172
1000018,P00366542,5,1780
1000018,P00190742,3,10754
1000018,P00151842,4,2802
1000018,P00112642,1,19473
1000018,P00118442,1,19672
1000018,P00034442,1,19313
1000018,P00222242,1,15182
1000018,P00118342,2,15985
1000018,P00324742,2,16454
1000018,P00190042,3,13551
1000018,P0094142,4,697
1000018,P00138542,5,7030
1000018,P00158542,5,5430
1000018,P00157542,8,8011
1000018,P00044142,8,5912
1000019,P00112542,1,7746
1000019,P00339542,1,19525
1000019,P00127842,1,11959
1000019,P00125942,1,19172
1000019,P00251342,5,8773
1000019,P00249642,3,11023
1000019,P00124842,11,4654
1000019,P00250642,11,4664
1000019,P00058142,3,8290
1000019,P00117442,5,7011
1000019,P00251642,1,4211
1000019,P00244842,11,1539
1000021,P00220242,3,3055
1000022,P00351142,1,12099
1000022,P00213242,5,8797
1000022,P00195942,3,10681
1000022,P00115642,8,7801
1000022,P0098242,1,15517
1000022,P00262242,1,12098
1000022,P00258742,5,6976
1000022,P00218242,5,5384
1000022,P00021742,5,6973
1000022,P00313042,5,5168
1000022,P00133742,5,3449
